driver exports 125 setting ids

0x00198FFF  Shader Cache
0x0019A002  shader cache path to dll
0x0019BB68  Texture filtering - Negative LOD bias
0x002ECAF2  Texture filtering - Trilinear optimization
0x005A375C  Vertical Sync Tear Control
0x00638E8F  Texture filtering - Driver Controlled LOD Bias
0x0064B541  Preferred refresh rate
0x00664339  NVIDIA Predefined Ambient Occlusion Usage
0x00667329  Ambient Occlusion
0x00738E8F  Texture filtering - LOD Bias
0x007BA09E  Maximum pre-rendered frames
0x0084CD70  Texture filtering - Anisotropic filter optimization
0x0098C1AC  Enable sample interleaving (MFAA)
0x00A879CF  Vertical Sync
0x00AB8687  VAB Default Data
0x00AC8497  Shader disk cache maximum size
0x00AE785C  PowerThrottle
0x00B65E72  Export Performance Counters for DX9 only
0x00CE2691  Texture filtering - Quality
0x00CE2692  Texture filtering - Quality Substitution
0x00D74EF6  Offline Shader Compile
0x00DB1337  ICafe Settings
0x00E73211  Texture filtering - Anisotropic sample optimization
0x10111133  Virtual Reality pre-rendered frames
0x10115C8C  Battery Boost Application FPS
0x10115C8D  External Quiet Mode (XQM)
0x101AE763  Flag to control smooth AFR behavior
0x101E61A9  Anisotropic filtering setting
0x10287051  SLI indicator
0x10308298  Override DLSSG mode
0x1033CEC1  NVIDIA predefined SLI mode
0x1033CEC2  NVIDIA predefined SLI mode on DirectX 10
0x1033CED1  SLI rendering mode
0x1033DCD1  Number of GPUs to use on SLI rendering mode
0x1033DCD2  NVIDIA predefined number of GPUs to use on SLI rendering mode
0x1033DCD3  NVIDIA predefined number of GPUs to use on SLI rendering mode on DirectX 10
0x1034CB89  NVIDIA Predefined FXAA Usage
0x10354FF8  List of Universal GPU ids
0x1035DB89  NVIDIA Predefined Ansel Usage
0x103BCCB5  No override of Anisotropic filtering
0x10444444  NVIDIA Quality upscaling
0x104554B6  Application Profile Notification Popup Timeout
0x104BC9A1  Exceptions to blocking apps
0x104D6667  Override DLSSG multi-frame count
0x10562D0F  Override maximum DLSSG dynamic multi frame count
0x1057EB71  Power management mode
0x1068FB9C  Enable FXAA Indicator
0x106D5CFF  Do not display this profile in the Control Panel
0x1074C972  Enable FXAA
0x1075D972  Enable Ansel
0x107AFC5B  Antialiasing - SLI AA
0x107CDDBC  Steam Application ID
0x107D639D  Antialiasing - Gamma correction
0x107EFC5B  Antialiasing - Mode
0x10835002  Frame Rate Limiter
0x10835016  Idle Application Max FPS Limit
0x10835017  Idle Application Threshold Time out in seconds
0x1085DA8A  Ansel flags for enabled applications
0x108F0841  Export Performance Counters
0x1094F157  Toggle the VRR global feature
0x1094F16F  Display the PhysX indicator
0x1094F1F7  VRR requested state
0x1095F16F  Display the VRR Overlay Indicator
0x1095F170  Autoalign flash indicator
0x10A879AC  G-SYNC
0x10A879CE  Variable refresh Rate
0x10A879CF  G-SYNC
0x10AFB768  Override DLSS-SR performance mode
0x10AFB76C  Override DLSS performance mode to be ultra-perfomance
0x10BD9423  Override DLSS-RR performance mode
0x10C7D4A2  Override scaling ratio for DLSS-RR
0x10C7D519  Override reserved key 2 for FG
0x10C7D57E  Override reserved key 1 for FG
0x10C7D597  Override reserved key 2 for RR
0x10C7D684  Override reserved key 1 for SR
0x10C7D82C  Override reserved key 2 for SR
0x10C7D86C  Override reserved key 1 for RR
0x10CF4125  Override DLSSG Target Frame Rate
0x10D1EF29  Maximum GPU Power
0x10D2BB16  Anisotropic filtering mode
0x10D48A85  Antialiasing - Transparency Supersampling
0x10D773D2  Antialiasing - Setting
0x10E41DF1  Override DLSS-FG preset
0x10E41DF3  Override DLSS-SR presets
0x10E41DF4  Override DLSS mode to be DLAA
0x10E41DF5  Override scaling ratio for DLSS-SR
0x10E41DF7  Override DLSS-RR preset
0x10E41E01  Enable DLSS-SR override
0x10E41E02  Enable DLSS-RR override
0x10E41E03  Enable DLSS-FG override
0x10ECDB82  Antialiasing - Behavior Flags
0x10F9DC80  Optimus flags for enabled applications
0x10F9DC81  Enable application for Optimus
0x10F9DC82  Maximum resolution allowed for a given application
0x10F9DC83  Maximum AA samples allowed for a given application
0x10F9DC84  Shim Rendering Mode Options per application for Optimus
0x10FC2D9C  Antialiasing - Transparency Multisampling
0x10FDEC23  Vsync - Behavior Flags
0x112493BD  Stereo - Dongle Support
0x11333333  Stereo - swap mode
0x1194F158  Enable G-SYNC globally
0x11AA9E99  Stereo - Enable
0x11AE435C  Stereo - Swap eyes
0x11E91A61  Stereo - Display mode
0x201F619F  Buffer-flipping mode
0x202888C1  Event Log Tmon Severity Threshold
0x204D9A0C  Force Stereo shuttering
0x20655CFA  OpenGL default swap interval sign
0x206A6582  OpenGL default swap interval
0x206C28C4  Enable overlay
0x206C4581  OpenGL default swap interval fraction
0x2072C5A3  OpenGL GDI compatibility
0x20797D6C  High level control of the rendering quality on OpenGL
0x2089BF6C  Antialiasing - Line gamma
0x208E55E3  Maximum frames allowed
0x2092D3BE  Enable NV_gpu_multicast extension
0x2097C2F6  Deep color for 3D applications
0x209AE66F  Exported Overlay pixel types
0x209DF23E  Event Log Severity Threshold
0x20A29055  Unified back/depth buffer
0x20C1221E  Threaded optimization
0x20D0F3E6  Preferred OpenGL GPU
0x20D690F8  Vulkan/OpenGL present method
0x20FDD1F9  Triple buffering
0x20FF7493  Extension String version

=== DSR candidates: 0 ===
